chunk_id,source_key,label,char_count,preview
3f949164ec53087b,ecfr_42_part_8,8.1 § 8.1 Scope.,1200,§ 8.1 Scope. (a) Scope. This subpart and subparts B through D of this part establish the procedures by which the Secretary of Health and Human Services (the Secretary) will determine whether an applic
d003fecae52d44d3,ecfr_42_part_8,8.1 § 8.1 Scope.,932,m an Accreditation Body that has been approved by the Secretary. This subpart and subparts B through D also establish the procedures whereby an entity can apply to become an approved Accreditation Bod
ee367fff3f409374,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,§ 8.2 Definitions. The following definitions apply to this part: Accreditation Body or “the Body” means an organization that has been approved by the Secretary in this part to accredit OTPs dispensing
71ccb7f2e7f032f7,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"ured, professionally administered clinical interventions ( e.g., cognitive behavior therapy or insight-oriented psychotherapy) delivered in-person, or remotely via telehealth or telemedicine, which ha"
6b8ec96f5c696d0d,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"tment is treatment that includes the continued use of MOUD provided in conjunction with an individualized range of appropriate harm reduction, medical, behavioral health, and recovery support services"
b8363aa88b0894a1,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,documented procedures that reduce the possibility that controlled medications will be transferred or otherwise shared with others to whom the medication was not prescribed or dispensed. Federal Opioid
64e58f05047fee1a,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"d intervention for infectious diseases, including counseling and risk mitigation activities forming part of a comprehensive, integrated approach to address human immunodeficiency virus (HIV), viral he"
d7559fca2857e350,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"ilities that provide rehabilitative, restorative, and/or ongoing services to those in need of assistance with activities of daily living. Long-term care facilities include: extended acute care facilit"
67ebb90607972367,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"ibility for all medical and behavioral health services provided by the OTP. Medication for Opioid Use Disorder or MOUD means medications, including opioid agonist medications, approved by the Food and"
3c2d8405eef09cc6,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"-based guidelines mean a document produced by a national or international medical professional association, public health agency, such as the World Health Organization, or governmental body with the a"
772bf92403f5797a,ecfr_42_part_8,8.2 § 8.2 Definitions.,1200,"isorder treatment means the dispensing of MOUD, along with the provision of a range of medical and behavioral health services, as clinically necessary and based on an individualized assessment and a m"
